numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
1,-756,-2480,11572,5158,-330,-1035
2,1712,-8428,16180,17292,1521,-320
3,-544,-8844,15508,879,890,2665
4,-8120,5040,18628,32767,5678,1567
5,-5300,10256,11328,23708,7897,-6894
6,-4724,4064,16004,-23280,16162,-1337
7,-8276,-304,13036,-20721,1474,4032
8,-6092,560,10828,-31054,11243,1891
9,-8836,-6176,13368,1997,5204,-6118
10,-8688,-5976,8900,20562,4546,4465
11,-8976,11028,7544,32767,-7310,4313
12,-6560,16008,-7904,32767,-6047,5850
13,-5824,16820,-9116,-32768,5680,15198
14,-3460,19032,6672,-32768,7093,23644
15,-4416,-5944,7672,-32768,19002,-5787
16,-3668,-17732,2432,-22243,-967,13464
17,-7796,-13364,2692,-24238,4455,21045
18,-5340,-11600,5860,32767,7560,-4525
19,-12388,-8056,12368,32767,2539,1106
20,-5844,9112,8928,32767,-15460,147
21,-4348,16068,7360,-11731,-5806,7799
22,-3036,15984,14236,-32768,13862,21138
23,-3732,3728,19004,-32768,23976,4848
24,-6416,-9004,11116,16622,19742,15327
25,-11444,-1944,14044,25621,18685,2811
26,-10756,1276,5784,11738,16010,7427
27,-14872,-240,7136,406,843,7079
28,-15764,920,3748,-1592,-10037,-435
29,-7028,3872,6116,-17819,-23464,3580
30,-11024,10912,19540,-1376,-32768,17390
31,-2120,644,14556,19387,-22230,-14722
32,2928,15272,9772,14084,-24147,-2680
33,7136,19152,5432,29301,-12357,-3461
34,1744,13152,6332,-2873,10588,-1548
35,144,13972,12692,-2464,12341,-4397
36,-8708,-304,17004,-32768,14826,6959
37,-10888,-11132,4660,-32768,14225,-28284
38,-2404,-13612,1928,-30422,-3599,104
39,-5856,-21888,-4128,11538,6820,8916
40,908,-8212,19332,32767,-10379,-23834
41,-896,17344,13680,32767,813,-7336
42,-7432,7908,5556,32767,-409,2858
43,-5376,12272,-14536,32767,-4433,1919
44,-3972,3772,-14448,32767,-1560,713
45,-7928,-5872,-18812,6432,-6081,1664
46,-1760,-21092,-5864,32767,-6320,-2625
47,-9464,-15652,-4440,32767,-800,-13351
48,-2208,-12080,2692,7877,-5046,5406
49,-3016,-13644,5032,2318,2974,3835
50,-7812,-15324,-5028,-32768,7743,16170
51,-12856,7520,6384,-32768,8074,-5755
52,-7764,32767,5560,-32768,-9968,-147
53,-7792,-632,14268,-32768,-13886,3338
54,948,-4216,18644,-25500,-10071,276
55,-4420,-3896,11724,9467,-7426,-14252
56,3080,-16752,-5220,-29679,-3011,-5917
57,1332,5076,15904,4389,1295,-501
58,1176,5632,15280,-155,469,236
59,1204,5272,15616,-913,325,339
60,1300,5052,15896,-1090,283,335
61,1240,5256,15696,236,537,152
62,1252,5036,15880,560,604,119
